team,year,div,conf,w_l_percent,mov,ortg,drtg,nrtg,mov_a,ortg_a,drtg_a,nrtg_a
Dallas Mavericks,2007,M,W,0.8170000000000001,7.22,112.32,104.12,8.2,7.28,112.23,103.98,8.25
Denver Nuggets,2007,M,W,0.5489999999999999,1.62,108.12,106.51,1.62,1.69,107.95,106.24,1.7
Detroit Pistons,2007,C,E,0.6459999999999999,4.16,109.8,104.87,4.93,3.68,109.72,105.33,4.39
Golden State Warriors,2007,P,W,0.512,-0.34,107.62,107.84,-0.22,-0.01,107.61,107.48,0.14
Houston Rockets,2007,M,W,0.634,4.85,106.64,101.31,5.33,5.04,106.43,100.9,5.53
Indiana Pacers,2007,C,E,0.4270000000000001,-2.44,103.7,106.21,-2.51,-2.62,103.72,106.44,-2.72
Los Angeles Clippers,2007,P,W,0.488,-0.46,105.9,106.55,-0.65,-0.07,105.91,106.14,-0.22
Los Angeles Lakers,2007,P,W,0.512,-0.07,109.09,109.28,-0.19,0.24,109.18,109.02,0.16
Memphis Grizzlies,2007,M,W,0.268,-5.15,107.37,112.95,-5.58,-4.44,107.74,112.54,-4.81
Miami Heat,2007,A,E,0.537,-0.91,105.25,106.36,-1.12,-1.21,105.23,106.67,-1.44
Milwaukee Bucks,2007,C,E,0.341,-4.38,107.63,112.34,-4.71,-4.44,107.89,112.66,-4.77
Minnesota Timberwolves,2007,M,W,0.39,-3.67,104.58,108.64,-4.06,-3.16,104.64,108.15,-3.51
New Orleans Pelicans,2007,SW,W,0.476,-1.57,105.68,107.51,-1.83,-1.2,105.78,107.19,-1.41
New York Knicks,2007,A,E,0.402,-2.85,106.39,109.53,-3.14,-3.06,106.45,109.82,-3.38
Oklahoma City Thunder,2007,NW,W,0.378,-2.89,108.21,111.52,-3.31,-2.45,108.45,111.27,-2.82
Orlando Magic,2007,A,E,0.488,0.78,105.99,105.03,0.96,0.34,105.76,105.28,0.48
Philadelphia 76ers,2007,A,E,0.4270000000000001,-3.02,104.42,107.77,-3.35,-3.26,104.43,108.04,-3.61
Phoenix Suns,2007,P,W,0.7440000000000001,7.3,114.68,106.9,7.78,7.27,114.66,106.9,7.76
Portland Trail Blazers,2007,P,W,0.39,-4.29,105.94,110.79,-4.85,-3.78,106.13,110.42,-4.29
Sacramento Kings,2007,P,W,0.402,-1.8,106.79,108.59,-1.8,-1.35,106.92,108.23,-1.31
San Antonio Spurs,2007,M,W,0.7070000000000001,8.43,110.11,100.64,9.47,8.35,109.84,100.47,9.37
